Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
8.35,Regular,0.126869718,Frozen Foods,74.4354,OUT046,1997,Small,Tier 1,Supermarket Type1,1128.531
11.1,Regular,0.053765212,Fruits and Vegetables,163.1526,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.9786
15.2,Low Fat,0.021203509,Canned,216.3824,OUT035,2004,Small,Tier 2,Supermarket Type1,6114.7072
9.195,Regular,0.04712061,Frozen Foods,53.1666,OUT046,1997,Small,Tier 1,Supermarket Type1,768.999
15.6,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.505
8.39,reg,0.024185517,Frozen Foods,115.7176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
,Low Fat,0.067120954,Snack Foods,132.9626,OUT027,1985,Medium,Tier 3,Supermarket Type3,3279.065
6.98,Low Fat,0.041105789,Canned,83.4934,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.9746
14.15,Low Fat,0.035999599,Soft Drinks,41.5138,OUT049,1999,Medium,Tier 1,Supermarket Type1,162.4552
5.655,Low Fat,0.175793413,Soft Drinks,146.9102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1749.7224
12.6,Low Fat,0.087630566,Fruits and Vegetables,110.0228,OUT045,2002,,Tier 2,Supermarket Type1,3205.1612
11.35,Regular,0.063226306,Dairy,87.9856,OUT046,1997,Small,Tier 1,Supermarket Type1,1494.0552
,Low Fat,0.037217847,Canned,86.8224,OUT027,1985,Medium,Tier 3,Supermarket Type3,1448.7808
9.8,Regular,0.073289899,Snack Foods,120.8098,OUT017,2007,,Tier 2,Supermarket Type1,1325.6078
,Regular,0.235859408,Snack Foods,46.1402,OUT019,1985,Small,Tier 1,Grocery Store,45.9402
18.35,Low Fat,0.099090261,Fruits and Vegetables,94.0462,OUT035,2004,Small,Tier 2,Supermarket Type1,555.2772
15.0,Low Fat,0.153861181,Starchy Foods,108.5938,OUT013,1987,High,Tier 3,Supermarket Type1,1393.5194
7.865,Low Fat,0.06100886,Breakfast,166.0526,OUT013,1987,High,Tier 3,Supermarket Type1,3617.9572
10.895,Regular,0.032454046,Frozen Foods,144.8102,OUT046,1997,Small,Tier 1,Supermarket Type1,3062.0142
12.35,Low Fat,0.093824276,Snack Foods,119.9124,OUT017,2007,,Tier 2,Supermarket Type1,2014.7108
7.75,Regular,0.082915017,Frozen Foods,34.9558,OUT035,2004,Small,Tier 2,Supermarket Type1,645.1602
18.2,Low Fat,0.270300331,Fruits and Vegetables,38.319,OUT010,1998,,Tier 3,Grocery Store,109.857
17.6,Regular,0.065649353,Snack Foods,94.841,OUT010,1998,,Tier 3,Grocery Store,193.082
9.6,Low Fat,0.096842096,Soft Drinks,166.1158,OUT017,2007,,Tier 2,Supermarket Type1,501.3474
5.82,Low Fat,0.080968973,Household,171.379,OUT018,2009,Medium,Tier 3,Supermarket Type2,2037.348
15.2,Low Fat,0.0,Health and Hygiene,47.8034,OUT049,1999,Medium,Tier 1,Supermarket Type1,437.4306
17.5,Regular,0.007570599,Dairy,144.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2187.153
12.5,Low Fat,0.020693809,Breads,199.1742,OUT035,2004,Small,Tier 2,Supermarket Type1,4379.6324
19.7,Regular,0.081193712,Baking Goods,198.411,OUT017,2007,,Tier 2,Supermarket Type1,2553.343
5.88,Regular,0.030418998,Frozen Foods,103.099,OUT017,2007,,Tier 2,Supermarket Type1,1341.587
6.035,Regular,0.065771344,Baking Goods,185.324,OUT035,2004,Small,Tier 2,Supermarket Type1,3728.48
6.445,Low Fat,0.029667053,Baking Goods,94.4436,OUT013,1987,High,Tier 3,Supermarket Type1,1134.5232
13.65,Low Fat,0.039824346,Frozen Foods,32.8558,OUT046,1997,Small,Tier 1,Supermarket Type1,645.1602
13.0,Regular,0.083444376,Canned,195.8426,OUT013,1987,High,Tier 3,Supermarket Type1,4152.5946
19.0,Regular,0.103449993,Fruits and Vegetables,225.472,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
19.7,Low Fat,0.053305463,Fruits and Vegetables,58.193,OUT049,1999,Medium,Tier 1,Supermarket Type1,848.895
10.395,Low Fat,0.030219852,Baking Goods,114.7176,OUT045,2002,,Tier 2,Supermarket Type1,2748.4224
8.365,Regular,0.039906377,Fruits and Vegetables,191.3188,OUT049,1999,Medium,Tier 1,Supermarket Type1,1713.7692
7.05,Low Fat,0.08509812,Snack Foods,108.2912,OUT049,1999,Medium,Tier 1,Supermarket Type1,2293.0152
5.325,Regular,0.139244918,Dairy,53.0298,OUT018,2009,Medium,Tier 3,Supermarket Type2,377.5086
5.785,Regular,0.038749536,Fruits and Vegetables,262.0252,OUT035,2004,Small,Tier 2,Supermarket Type1,4459.5284
,LF,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.9684
6.195,Low Fat,0.072097449,Snack Foods,119.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1205.098
,Regular,0.026949463,Meat,197.711,OUT027,1985,Medium,Tier 3,Supermarket Type3,4910.275
10.195,reg,0.017703044,Starchy Foods,239.4538,OUT018,2009,Medium,Tier 3,Supermarket Type2,3605.307
,Low Fat,0.266234421,Breakfast,98.5358,OUT019,1985,Small,Tier 1,Grocery Store,402.1432
12.6,Regular,0.062797771,Frozen Foods,103.999,OUT049,1999,Medium,Tier 1,Supermarket Type1,825.592
12.15,Low Fat,0.018514652,Frozen Foods,252.7698,OUT017,2007,,Tier 2,Supermarket Type1,5834.4054
13.0,Low Fat,0.153930108,Canned,76.7986,OUT045,2002,,Tier 2,Supermarket Type1,2648.5524
17.5,Low Fat,0.015623754,Fruits and Vegetables,182.6266,OUT018,2009,Medium,Tier 3,Supermarket Type2,3135.2522
6.11,reg,0.103129612,Fruits and Vegetables,129.5968,OUT045,2002,,Tier 2,Supermarket Type1,2348.9424
13.85,Regular,0.056432784,Breakfast,234.93,OUT045,2002,,Tier 2,Supermarket Type1,4660.6
14.7,Low Fat,0.072444983,Fruits and Vegetables,48.6034,OUT045,2002,,Tier 2,Supermarket Type1,194.4136
20.35,Regular,0.150947728,Meat,81.0276,OUT013,1987,High,Tier 3,Supermarket Type1,1868.2348
13.35,Regular,0.149669322,Snack Foods,180.266,OUT045,2002,,Tier 2,Supermarket Type1,898.83
20.25,Regular,0.022507877,Dairy,248.1092,OUT035,2004,Small,Tier 2,Supermarket Type1,4731.1748
18.7,Low Fat,0.046159928,Health and Hygiene,152.3682,OUT049,1999,Medium,Tier 1,Supermarket Type1,1677.1502
16.6,Low Fat,0.016197216,Health and Hygiene,108.8596,OUT013,1987,High,Tier 3,Supermarket Type1,970.7364
18.25,Low Fat,0.015341139,Snack Foods,200.0084,OUT018,2009,Medium,Tier 3,Supermarket Type2,1984.084
6.215,Regular,0.049722335,Baking Goods,224.5062,OUT045,2002,,Tier 2,Supermarket Type1,4514.124
11.5,Low Fat,0.014883661,Starchy Foods,174.508,OUT049,1999,Medium,Tier 1,Supermarket Type1,3635.268
13.15,Low Fat,0.043727261,Snack Foods,182.595,OUT013,1987,High,Tier 3,Supermarket Type1,3478.805
16.2,Low Fat,0.063385859,Canned,98.17,OUT017,2007,,Tier 2,Supermarket Type1,2696.49
20.25,Low Fat,0.0,Household,145.6418,OUT013,1987,High,Tier 3,Supermarket Type1,3384.2614
6.92,LF,0.038671588,Dairy,64.2852,OUT017,2007,,Tier 2,Supermarket Type1,438.0964
10.1,Low Fat,0.167155198,Soft Drinks,241.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,5331.7264
15.2,Low Fat,0.033651278,Household,108.9912,OUT049,1999,Medium,Tier 1,Supermarket Type1,1965.4416
5.73,Low Fat,0.05190652,Soft Drinks,188.1898,OUT045,2002,,Tier 2,Supermarket Type1,1496.7184
,Regular,0.05787008,Breakfast,49.7008,OUT019,1985,Small,Tier 1,Grocery Store,50.6008
16.0,Low Fat,0.0,Household,228.8668,OUT046,1997,Small,Tier 1,Supermarket Type1,1612.5676
15.1,Regular,0.019917598,Frozen Foods,129.431,OUT013,1987,High,Tier 3,Supermarket Type1,3505.437
18.25,Low Fat,0.044250304,Hard Drinks,174.708,OUT046,1997,Small,Tier 1,Supermarket Type1,2423.512
12.35,Low Fat,0.041729735,Health and Hygiene,36.3216,OUT035,2004,Small,Tier 2,Supermarket Type1,276.9728
,reg,0.192650072,Frozen Foods,37.4506,OUT019,1985,Small,Tier 1,Grocery Store,37.9506
8.89,Low Fat,0.00547348,Frozen Foods,100.5016,OUT035,2004,Small,Tier 2,Supermarket Type1,1315.6208
13.65,Low Fat,0.066657791,Frozen Foods,32.6558,OUT010,1998,,Tier 3,Grocery Store,67.9116
11.8,reg,0.057655493,Meat,152.6366,OUT018,2009,Medium,Tier 3,Supermarket Type2,1662.5026
7.09,Low Fat,0.007215314,Baking Goods,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.102
13.15,Regular,0.0,Fruits and Vegetables,171.9764,OUT017,2007,,Tier 2,Supermarket Type1,2404.8696
12.0,Low Fat,0.07554831,Baking Goods,121.9388,OUT046,1997,Small,Tier 1,Supermarket Type1,3219.8088
9.1,Low Fat,0.080277707,Household,47.2718,OUT035,2004,Small,Tier 2,Supermarket Type1,850.8924
6.67,Regular,0.12367891,Snack Foods,88.9514,OUT045,2002,,Tier 2,Supermarket Type1,885.514
,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
20.2,Low Fat,0.011820087,Household,151.634,OUT046,1997,Small,Tier 1,Supermarket Type1,1990.742
9.895,Regular,0.028837829,Canned,117.8492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1506.0396
8.5,Low Fat,0.097866209,Canned,51.1324,OUT035,2004,Small,Tier 2,Supermarket Type1,1350.2424
18.2,Low Fat,0.012659235,Snack Foods,140.718,OUT018,2009,Medium,Tier 3,Supermarket Type2,2656.542
15.85,Low Fat,0.081719458,Breads,178.037,OUT013,1987,High,Tier 3,Supermarket Type1,2646.555
10.195,Low Fat,0.041907414,Snack Foods,43.8428,OUT013,1987,High,Tier 3,Supermarket Type1,175.7712
5.21,Low Fat,0.011072173,Household,257.8962,OUT017,2007,,Tier 2,Supermarket Type1,4402.9354
15.0,Low Fat,0.044871033,Health and Hygiene,140.3838,OUT013,1987,High,Tier 3,Supermarket Type1,2528.7084
6.55,Regular,0.034745307,Breads,158.8288,OUT018,2009,Medium,Tier 3,Supermarket Type2,4399.6064
,Low Fat,0.212293753,Canned,92.2778,OUT019,1985,Small,Tier 1,Grocery Store,469.389
,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208
8.355,Low Fat,0.187523164,Canned,146.2418,OUT035,2004,Small,Tier 2,Supermarket Type1,4414.254
12.0,Low Fat,0.034166609,Canned,181.2976,OUT017,2007,,Tier 2,Supermarket Type1,5070.7328
19.1,Low Fat,0.091917786,Others,182.7608,OUT046,1997,Small,Tier 1,Supermarket Type1,1837.608
6.215,Regular,0.049621701,Baking Goods,226.1062,OUT046,1997,Small,Tier 1,Supermarket Type1,4739.8302
5.46,Regular,0.107036943,Fruits and Vegetables,144.2786,OUT035,2004,Small,Tier 2,Supermarket Type1,288.9572
,Low Fat,0.255929096,Meat,103.3648,OUT019,1985,Small,Tier 1,Grocery Store,311.5944
6.825,Low Fat,0.059835659,Health and Hygiene,264.3226,OUT035,2004,Small,Tier 2,Supermarket Type1,4229.1616
,Low Fat,0.053148497,Health and Hygiene,36.3874,OUT019,1985,Small,Tier 1,Grocery Store,105.8622
15.7,Low Fat,0.055979703,Health and Hygiene,151.9024,OUT035,2004,Small,Tier 2,Supermarket Type1,1062.6168
11.1,Low Fat,0.033160417,Household,119.6124,OUT049,1999,Medium,Tier 1,Supermarket Type1,2251.7356
7.435,Low Fat,0.122735471,Starchy Foods,205.2638,OUT013,1987,High,Tier 3,Supermarket Type1,3520.0846
20.7,Regular,0.0,Baking Goods,98.7042,OUT017,2007,,Tier 2,Supermarket Type1,1884.8798
17.5,LF,0.013658248,Frozen Foods,256.3304,OUT049,1999,Medium,Tier 1,Supermarket Type1,6199.9296
17.5,Low Fat,0.028009382,Meat,141.718,OUT010,1998,,Tier 3,Grocery Store,419.454
,Low Fat,0.055648052,Baking Goods,100.3016,OUT027,1985,Medium,Tier 3,Supermarket Type3,2833.6448
,Regular,0.127599399,Snack Foods,118.9098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098
20.35,Low Fat,0.021369722,Household,75.8328,OUT045,2002,,Tier 2,Supermarket Type1,154.4656
5.98,Low Fat,0.043651198,Fruits and Vegetables,146.1418,OUT045,2002,,Tier 2,Supermarket Type1,3089.9778
17.6,Low Fat,0.05661033,Frozen Foods,41.7454,OUT017,2007,,Tier 2,Supermarket Type1,209.727
,Low Fat,0.052749199,Canned,74.967,OUT019,1985,Small,Tier 1,Grocery Store,229.701
20.1,Low Fat,0.077454252,Health and Hygiene,59.2536,OUT046,1997,Small,Tier 1,Supermarket Type1,735.0432
5.48,Low Fat,0.015131684,Frozen Foods,83.025,OUT049,1999,Medium,Tier 1,Supermarket Type1,1414.825
13.65,Low Fat,0.049496899,Fruits and Vegetables,151.505,OUT017,2007,,Tier 2,Supermarket Type1,2846.295
9.6,Regular,0.02734361,Snack Foods,257.8304,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.3128
6.11,Regular,0.102901425,Fruits and Vegetables,128.4968,OUT035,2004,Small,Tier 2,Supermarket Type1,1435.4648
15.5,Regular,0.0,Snack Foods,147.2418,OUT018,2009,Medium,Tier 3,Supermarket Type2,1324.2762
12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,2002,,Tier 2,Supermarket Type1,2675.1844
,LF,0.102941345,Household,171.2448,OUT027,1985,Medium,Tier 3,Supermarket Type3,4602.0096
15.1,Low Fat,0.056067524,Household,139.8496,OUT018,2009,Medium,Tier 3,Supermarket Type2,1270.3464
9.1,Low Fat,0.174085625,Baking Goods,124.6362,OUT035,2004,Small,Tier 2,Supermarket Type1,2390.8878
15.6,Low Fat,0.088215871,Snack Foods,220.1798,OUT017,2007,,Tier 2,Supermarket Type1,5068.7354
5.88,Low Fat,0.024882614,Household,149.4392,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.5312
12.85,Low Fat,0.108102606,Fruits and Vegetables,233.3642,OUT013,1987,High,Tier 3,Supermarket Type1,3950.1914
6.785,Regular,0.022970468,Snack Foods,211.0928,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.2488
10.8,Low Fat,0.05843345,Hard Drinks,74.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332
,Low Fat,0.065313024,Frozen Foods,47.1402,OUT027,1985,Medium,Tier 3,Supermarket Type3,1516.0266
10.5,Regular,0.026520107,Baking Goods,144.8128,OUT017,2007,,Tier 2,Supermarket Type1,2157.192
7.71,Regular,0.06670068,Snack Foods,55.2956,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.6988
13.6,LF,0.010033871,Household,177.937,OUT018,2009,Medium,Tier 3,Supermarket Type2,2293.681
5.8,LF,0.131489269,Dairy,89.7172,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.9096
,Low Fat,0.162856593,Household,54.5956,OUT019,1985,Small,Tier 1,Grocery Store,218.3824
14.1,Low Fat,0.088172355,Dairy,232.2668,OUT045,2002,,Tier 2,Supermarket Type1,4146.6024
14.1,Low Fat,0.089859642,Canned,140.2496,OUT045,2002,,Tier 2,Supermarket Type1,1693.7952
20.1,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792
17.85,Low Fat,0.065797601,Frozen Foods,147.805,OUT035,2004,Small,Tier 2,Supermarket Type1,1947.465
8.51,Low Fat,0.051936086,Household,142.947,OUT035,2004,Small,Tier 2,Supermarket Type1,3006.087
11.3,Low Fat,0.056754036,Baking Goods,247.5118,OUT017,2007,,Tier 2,Supermarket Type1,2470.118
,Regular,0.015016891,Meat,248.6408,OUT027,1985,Medium,Tier 3,Supermarket Type3,6759.2016
15.5,Regular,0.085763562,Frozen Foods,49.0692,OUT013,1987,High,Tier 3,Supermarket Type1,295.6152
14.65,Low Fat,0.170663661,Hard Drinks,56.4614,OUT045,2002,,Tier 2,Supermarket Type1,1436.7964
20.35,Low Fat,0.054046706,Snack Foods,119.5466,OUT035,2004,Small,Tier 2,Supermarket Type1,353.5398
11.15,Low Fat,0.073783159,Others,66.0142,OUT017,2007,,Tier 2,Supermarket Type1,988.713
17.75,Low Fat,0.11147467,Others,108.0912,OUT049,1999,Medium,Tier 1,Supermarket Type1,1637.868
,Regular,0.102226474,Canned,91.312,OUT027,1985,Medium,Tier 3,Supermarket Type3,3075.996
20.2,Low Fat,0.112495847,Household,124.4046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1120.5414
7.42,Regular,0.036109859,Seafood,186.5582,OUT010,1998,,Tier 3,Grocery Store,185.7582
16.0,Regular,0.172615327,Snack Foods,154.5972,OUT013,1987,High,Tier 3,Supermarket Type1,1869.5664
,Low Fat,0.132275338,Baking Goods,123.8388,OUT019,1985,Small,Tier 1,Grocery Store,123.8388
19.6,Low Fat,0.048092778,Health and Hygiene,44.477,OUT018,2009,Medium,Tier 3,Supermarket Type2,432.77
12.1,Low Fat,0.040521714,Fruits and Vegetables,178.5002,OUT018,2009,Medium,Tier 3,Supermarket Type2,5552.1062
11.8,Low Fat,0.038235337,Health and Hygiene,177.5686,OUT010,1998,,Tier 3,Grocery Store,711.0744
19.5,LF,0.082483516,Canned,179.2002,OUT013,1987,High,Tier 3,Supermarket Type1,2865.6032
6.155,Regular,0.094807042,Meat,213.356,OUT049,1999,Medium,Tier 1,Supermarket Type1,3835.008
19.5,Low Fat,0.014332439,Household,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1381.535
14.3,reg,0.034382602,Baking Goods,96.5726,OUT013,1987,High,Tier 3,Supermarket Type1,2251.0698
18.85,Low Fat,0.137972993,Hard Drinks,158.4578,OUT017,2007,,Tier 2,Supermarket Type1,1444.1202
9.3,Low Fat,0.0,Frozen Foods,182.9292,OUT017,2007,,Tier 2,Supermarket Type1,4013.4424
8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752
6.035,low fat,0.14113846,Snack Foods,155.0998,OUT013,1987,High,Tier 3,Supermarket Type1,3691.1952
,Regular,0.013951504,Snack Foods,199.9084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5753.8436
9.0,Low Fat,0.039004193,Soft Drinks,37.019,OUT045,2002,,Tier 2,Supermarket Type1,659.142
12.1,Low Fat,0.011557563,Dairy,165.3526,OUT049,1999,Medium,Tier 1,Supermarket Type1,3453.5046
11.3,Low Fat,0.066816565,Household,192.2478,OUT045,2002,,Tier 2,Supermarket Type1,1356.2346
19.7,Low Fat,0.053330653,Fruits and Vegetables,56.793,OUT045,2002,,Tier 2,Supermarket Type1,848.895
9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,,Tier 2,Supermarket Type1,1685.8056
,Regular,0.067373081,Breads,258.8988,OUT027,1985,Medium,Tier 3,Supermarket Type3,3083.9856
9.695,Low Fat,0.029567218,Snack Foods,160.492,OUT035,2004,Small,Tier 2,Supermarket Type1,4314.384
9.8,Regular,0.106816919,Fruits and Vegetables,114.2492,OUT010,1998,,Tier 3,Grocery Store,463.3968
,Low Fat,0.040318693,Fruits and Vegetables,186.224,OUT027,1985,Medium,Tier 3,Supermarket Type3,5033.448
,Low Fat,0.078764059,Dairy,241.3854,OUT019,1985,Small,Tier 1,Grocery Store,483.3708
20.7,Low Fat,0.039405676,Household,149.8366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2267.049
19.2,Low Fat,0.100230114,Frozen Foods,112.9886,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.829
16.5,Low Fat,0.028418817,Snack Foods,92.8146,OUT046,1997,Small,Tier 1,Supermarket Type1,2097.9358
5.985,Low Fat,0.005661669,Baking Goods,186.5924,OUT013,1987,High,Tier 3,Supermarket Type1,2591.2936
,Low Fat,0.042037073,Dairy,172.6764,OUT027,1985,Medium,Tier 3,Supermarket Type3,6183.9504
7.21,Regular,0.14460413,Snack Foods,102.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,2153.1972
14.65,Low Fat,0.083488992,Household,161.3552,OUT049,1999,Medium,Tier 1,Supermarket Type1,7148.0288
6.46,Regular,0.049121972,Fruits and Vegetables,144.6102,OUT013,1987,High,Tier 3,Supermarket Type1,2916.204
16.1,Regular,0.0,Frozen Foods,35.1558,OUT017,2007,,Tier 2,Supermarket Type1,339.558
11.0,Low Fat,0.008960445,Meat,119.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1696.4584
18.0,Low Fat,0.073606829,Canned,156.6972,OUT017,2007,,Tier 2,Supermarket Type1,4206.5244
21.1,Regular,0.020760673,Breakfast,128.7994,OUT045,2002,,Tier 2,Supermarket Type1,1798.9916
,Regular,0.024286378,Fruits and Vegetables,194.711,OUT027,1985,Medium,Tier 3,Supermarket Type3,5892.33
,Regular,0.118883724,Fruits and Vegetables,180.3976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7425.0016
20.5,Regular,0.113045883,Fruits and Vegetables,194.1478,OUT017,2007,,Tier 2,Supermarket Type1,2906.217
19.35,Low Fat,0.016611475,Frozen Foods,122.0098,OUT046,1997,Small,Tier 1,Supermarket Type1,2651.2156
13.15,Low Fat,0.022831052,Fruits and Vegetables,160.292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4793.76
15.6,Low Fat,0.087646694,Snack Foods,221.5798,OUT013,1987,High,Tier 3,Supermarket Type1,5509.495
,Regular,0.045243613,Dairy,146.8102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3499.4448
8.02,Low Fat,0.111419588,Snack Foods,154.3998,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.5956
14.6,LF,0.0,Others,242.3538,OUT035,2004,Small,Tier 2,Supermarket Type1,5287.7836
5.86,Regular,0.151087845,Meat,155.1314,OUT049,1999,Medium,Tier 1,Supermarket Type1,1551.314
15.25,Regular,0.065841719,Snack Foods,179.866,OUT013,1987,High,Tier 3,Supermarket Type1,2696.49
6.11,Regular,0.0,Fruits and Vegetables,131.2968,OUT010,1998,,Tier 3,Grocery Store,260.9936
5.88,Regular,0.030371121,Frozen Foods,101.799,OUT018,2009,Medium,Tier 3,Supermarket Type2,1960.781
8.26,Regular,0.0,Soft Drinks,122.573,OUT045,2002,,Tier 2,Supermarket Type1,739.038
17.6,Regular,0.076552407,Meat,110.5202,OUT017,2007,,Tier 2,Supermarket Type1,450.0808
,Low Fat,0.308145448,Fruits and Vegetables,222.0772,OUT019,1985,Small,Tier 1,Grocery Store,889.5088
5.46,Regular,0.032359413,Canned,187.424,OUT017,2007,,Tier 2,Supermarket Type1,3169.208
15.5,Low Fat,0.053455158,Soft Drinks,43.677,OUT049,1999,Medium,Tier 1,Supermarket Type1,562.601
11.5,Regular,0.062885197,Snack Foods,106.7254,OUT010,1998,,Tier 3,Grocery Store,542.627
10.1,Regular,0.045763062,Snack Foods,38.4848,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.8416
13.65,Regular,0.0,Meat,37.9532,OUT045,2002,,Tier 2,Supermarket Type1,575.2512
13.1,LF,0.037549969,Fruits and Vegetables,176.1054,OUT013,1987,High,Tier 3,Supermarket Type1,4027.4242
13.85,Regular,0.056406129,Breakfast,231.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,3029.39
7.6,Regular,0.142292265,Starchy Foods,171.3448,OUT013,1987,High,Tier 3,Supermarket Type1,3238.4512
8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
,Low Fat,0.035997636,Others,78.6618,OUT019,1985,Small,Tier 1,Grocery Store,80.5618
13.6,Regular,0.049579883,Frozen Foods,110.0912,OUT035,2004,Small,Tier 2,Supermarket Type1,1965.4416
,Low Fat,0.090778148,Household,153.1024,OUT019,1985,Small,Tier 1,Grocery Store,303.6048
17.7,Regular,0.135646297,Starchy Foods,186.0924,OUT018,2009,Medium,Tier 3,Supermarket Type2,3516.7556
16.35,Low Fat,0.020544065,Fruits and Vegetables,49.9324,OUT035,2004,Small,Tier 2,Supermarket Type1,259.662
18.6,Low Fat,0.039517121,Frozen Foods,243.6802,OUT017,2007,,Tier 2,Supermarket Type1,5896.3248
19.35,Regular,0.137697119,Baking Goods,47.1034,OUT010,1998,,Tier 3,Grocery Store,145.8102
,low fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116
17.7,Regular,0.016622448,Fruits and Vegetables,50.2034,OUT049,1999,Medium,Tier 1,Supermarket Type1,1166.4816
,Regular,0.056713056,Fruits and Vegetables,223.8088,OUT027,1985,Medium,Tier 3,Supermarket Type3,5592.72
12.1,Low Fat,0.020684919,Snack Foods,148.5734,OUT017,2007,,Tier 2,Supermarket Type1,1336.2606
6.48,Low Fat,0.033968647,Snack Foods,148.0076,OUT045,2002,,Tier 2,Supermarket Type1,886.8456
10.695,Regular,0.087272074,Snack Foods,153.7972,OUT017,2007,,Tier 2,Supermarket Type1,2025.3636
16.7,low fat,0.070096518,Dairy,217.885,OUT013,1987,High,Tier 3,Supermarket Type1,3894.93
6.235,Low Fat,0.033807904,Household,258.9962,OUT010,1998,,Tier 3,Grocery Store,258.9962
18.25,Low Fat,0.075132353,Snack Foods,125.9046,OUT013,1987,High,Tier 3,Supermarket Type1,2365.5874
9.3,Regular,0.033505804,Meat,153.4314,OUT045,2002,,Tier 2,Supermarket Type1,2482.1024
9.5,Regular,0.104933928,Canned,78.796,OUT018,2009,Medium,Tier 3,Supermarket Type2,1198.44
9.8,Regular,0.056339618,Breads,84.2908,OUT013,1987,High,Tier 3,Supermarket Type1,755.0172
16.85,LF,0.044414056,Fruits and Vegetables,182.4266,OUT046,1997,Small,Tier 1,Supermarket Type1,2028.6926
21.2,Regular,0.0,Starchy Foods,173.6738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.1546
6.865,Low Fat,0.014021626,Soft Drinks,127.1652,OUT045,2002,,Tier 2,Supermarket Type1,1291.652
,Regular,0.035853059,Frozen Foods,176.8712,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.1952
14.0,Low Fat,0.041355366,Starchy Foods,182.0634,OUT049,1999,Medium,Tier 1,Supermarket Type1,4544.085
7.5,Low Fat,0.0,Frozen Foods,237.7906,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.453
12.1,Low Fat,0.034427577,Snack Foods,146.6734,OUT010,1998,,Tier 3,Grocery Store,296.9468
15.2,Low Fat,0.019142452,Snack Foods,237.5248,OUT017,2007,,Tier 2,Supermarket Type1,3318.3472
14.85,Low Fat,0.15643727,Baking Goods,142.0812,OUT010,1998,,Tier 3,Grocery Store,284.9624
10.0,Low Fat,0.100055625,Snack Foods,113.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,3467.4864
14.6,Regular,0.071904258,Fruits and Vegetables,106.8254,OUT010,1998,,Tier 3,Grocery Store,108.5254
7.76,Low Fat,0.059341019,Snack Foods,99.77,OUT035,2004,Small,Tier 2,Supermarket Type1,798.96
13.35,Low Fat,0.048124443,Breads,216.7166,OUT045,2002,,Tier 2,Supermarket Type1,3918.8988
15.85,Low Fat,0.043410693,Starchy Foods,39.4164,OUT018,2009,Medium,Tier 3,Supermarket Type2,154.4656
